name,description,price,image_url,affiliate_url,brand,category,rating,review_count,merchant_name
Dyson Airwrap Complete,Multi-styler and dryer with no extreme heat. Curl wave and smooth with six attachments included.,599.00,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?w=600&q=80,https://www.amazon.com/s?k=dyson+airwrap+complete&tag=cherishher-20,Dyson,tech,4.8,7821,Amazon
Dyson Supersonic Hair Dryer,Fast drying intelligent heat control hair dryer designed to reduce heat damage and improve shine.,429.00,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?w=600&q=80,https://www.amazon.com/s?k=dyson+supersonic+hair+dryer&tag=cherishher-20,Dyson,tech,4.7,5200,Amazon
Tatcha The Water Cream,Lightweight pore refining moisturizer delivering hydration with a silky finish.,72.00,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881?w=600&q=80,https://www.amazon.com/s?k=tatcha+the+water+cream&tag=cherishher-20,Tatcha,skincare,4.8,3100,Amazon
Charlotte Tilbury Pillow Talk Lip Kit,Iconic nude pink lip collection with coordinated liner and lipstick shades.,60.00,https://images.unsplash.com/photo-1631214503560-8e7b4a2c9da0?w=600&q=80,https://www.amazon.com/s?k=charlotte+tilbury+pillow+talk+lip+kit&tag=cherishher-20,Charlotte Tilbury,skincare,4.8,4200,Amazon
Kendra Scott Gold Earrings,Statement gold earrings designed for everyday wear and gifting.,85.00,https://images.unsplash.com/photo-1535632066927-ab7c9ab60908?w=600&q=80,https://www.amazon.com/s?k=kendra+scott+gold+earrings&tag=cherishher-20,Kendra Scott,jewelry,4.7,2800,Amazon
Rare Beauty Soft Pinch Blush,Highly pigmented liquid blush with a natural long lasting finish.,25.00,https://images.unsplash.com/photo-1586495777744-4e6232bf313d?w=600&q=80,https://www.amazon.com/s?k=rare+beauty+soft+pinch+blush&tag=cherishher-20,Rare Beauty,skincare,4.8,9100,Amazon
Apple AirPods Pro,Active noise cancellation wireless earbuds with transparency mode and immersive sound.,249.00,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=600&q=80,https://www.amazon.com/s?k=apple+airpods+pro&tag=cherishher-20,Apple,tech,4.8,42000,Amazon
Coach Tabby Shoulder Bag,Structured leather shoulder bag with signature hardware and versatile styling.,450.00,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=600&q=80,https://www.amazon.com/s?k=coach+tabby+shoulder+bag&tag=cherishher-20,Coach,handbags,4.8,1200,Amazon
Theragun Mini,Compact handheld massage device designed for recovery and portability.,199.00,https://images.unsplash.com/photo-1571019613454-1cb2f99b2d8b?w=600&q=80,https://www.amazon.com/s?k=theragun+mini&tag=cherishher-20,Therabody,spa_wellness,4.7,3400,Amazon
Shark FlexStyle,Multi styling system for drying curling smoothing and volumizing hair.,299.00,https://images.unsplash.com/photo-1522337360788-8b13dee7a37e?w=600&q=80,https://www.amazon.com/s?k=shark+flexstyle&tag=cherishher-20,Shark,tech,4.8,2100,Amazon
Lululemon Align Leggings,Buttery-soft nulu fabric with four-way stretch for yoga or all-day wear.,128.00,https://images.unsplash.com/photo-1506629082955-511b1aa562c8?w=600&q=80,https://www.amazon.com/s?k=lululemon+align+leggings&tag=cherishher-20,Lululemon,fitness,4.9,14203,Amazon
Le Labo Santal 33,The cult-status woody fragrance with cedar iris violet and warm leather.,230.00,https://images.unsplash.com/photo-1541643600914-78b084683702?w=600&q=80,https://www.amazon.com/s?k=le+labo+santal+33&tag=cherishher-20,Le Labo,skincare,4.8,3102,Amazon
